"Libellé";"Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France - Ensemble";"Codes";""
"idBank";"001759970";"";""
"Dernière mise à jour";"15/04/2025 08:45";"";""
"Période";"";"";"Date de parution au JO"
"2009-01";"92.57";"A";"22/02/2009"
"2009-02";"92.92";"A";"19/03/2009"
"2009-03";"93.09";"A";"25/04/2009"
"2009-04";"93.24";"A";"15/05/2009"
"2009-05";"93.38";"A";"14/06/2009"
"2009-06";"93.5";"A";"19/07/2009"
"2009-07";"93.08";"A";"23/08/2009"
"2009-08";"93.56";"A";"17/09/2009"
"2009-09";"93.33";"A";"15/10/2009"
"2009-10";"93.42";"A";"18/11/2009"
"2009-11";"93.55";"A";"23/12/2009"
"2009-12";"93.8";"A";"16/01/2010"
"2010-01";"93.59";"A";"26/02/2010"
"2010-02";"94.11";"A";"23/03/2010"
"2010-03";"94.57";"A";"16/04/2010"
"2010-04";"94.81";"A";"15/05/2010"
"2010-05";"94.92";"A";"13/06/2010"
"2010-06";"94.91";"A";"22/07/2010"
"2010-07";"94.64";"A";"20/08/2010"
"2010-08";"94.86";"A";"17/09/2010"
"2010-09";"94.79";"A";"15/10/2010"
"2010-10";"94.91";"A";"13/11/2010"
"2010-11";"95.02";"A";"19/12/2010"
"2010-12";"95.45";"A";"15/01/2011"
"2011-01";"95.22";"A";"26/02/2011"
"2011-02";"95.67";"A";"18/03/2011"
"2011-03";"96.45";"A";"15/04/2011"
"2011-04";"96.78";"A";"14/05/2011"
"2011-05";"96.83";"A";"17/06/2011"
"2011-06";"96.91";"A";"22/07/2011"
"2011-07";"96.48";"A";"18/08/2011"
"2011-08";"96.98";"A";"15/09/2011"
"2011-09";"96.91";"A";"14/10/2011"
"2011-10";"97.14";"A";"13/11/2011"
"2011-11";"97.41";"A";"15/12/2011"
"2011-12";"97.8";"A";"14/01/2012"
"2012-01";"97.46";"A";"24/02/2012"
"2012-02";"97.86";"A";"20/03/2012"
"2012-03";"98.67";"A";"14/04/2012"
"2012-04";"98.8";"A";"19/05/2012"
"2012-05";"98.75";"A";"15/06/2012"
"2012-06";"98.78";"A";"14/07/2012"
"2012-07";"98.35";"A";"17/08/2012"
"2012-08";"99.0";"A";"14/09/2012"
"2012-09";"98.76";"A";"13/10/2012"
"2012-10";"98.94";"A";"16/11/2012"
"2012-11";"98.79";"A";"15/12/2012"
"2012-12";"99.1";"A";"12/01/2013"
"2013-01";"98.6";"A";"27/02/2013"
"2013-02";"98.88";"A";"20/03/2013"
"2013-03";"99.63";"A";"14/04/2013"
"2013-04";"99.48";"A";"19/05/2013"
"2013-05";"99.54";"A";"19/06/2013"
"2013-06";"99.7";"A";"02/08/2013"
"2013-07";"99.4";"A";"22/08/2013"
