"Libellé";"Taux de chômage au sens du BIT - Ensemble - France métropolitaine - Données CVS";"Codes"
"idBank";"001688526";""
"Dernière mise à jour";"11/02/2025 07:30";""
"Période";"";""
"2009-T1";"8.2";"A"
"2009-T2";"8.8";"A"
"2009-T3";"8.8";"A"
"2009-T4";"9.2";"A"
"2010-T1";"9.0";"A"
"2010-T2";"8.9";"A"
"2010-T3";"8.9";"A"
"2010-T4";"8.9";"A"
"2011-T1";"8.8";"A"
"2011-T2";"8.7";"A"
"2011-T3";"8.8";"A"
"2011-T4";"9.0";"A"
"2012-T1";"9.1";"A"
"2012-T2";"9.3";"A"
"2012-T3";"9.4";"A"
"2012-T4";"9.8";"A"
"2013-T1";"10.0";"A"
"2013-T2";"10.1";"A"
"2013-T3";"9.9";"A"
"2013-T4";"9.8";"A"
"2014-T1";"9.8";"A"
"2014-T2";"9.8";"A"
"2014-T3";"9.9";"A"
"2014-T4";"10.1";"A"
"2015-T1";"10.0";"A"
"2015-T2";"10.2";"A"
"2015-T3";"10.0";"A"
"2015-T4";"9.9";"A"
"2016-T1";"9.9";"A"
"2016-T2";"9.7";"A"
"2016-T3";"9.6";"A"
"2016-T4";"9.8";"A"
"2017-T1";"9.3";"A"
"2017-T2";"9.2";"A"
"2017-T3";"9.2";"A"
"2017-T4";"8.7";"A"
"2018-T1";"8.9";"A"
"2018-T2";"8.8";"A"
"2018-T3";"8.6";"A"
"2018-T4";"8.4";"A"
"2019-T1";"8.5";"A"
"2019-T2";"8.2";"A"
"2019-T3";"8.1";"A"
"2019-T4";"7.9";"A"
"2020-T1";"7.7";"A"
"2020-T2";"7.1";"A"
"2020-T3";"8.7";"A"
"2020-T4";"7.8";"A"
"2021-T1";"8.0";"A"
"2021-T2";"7.8";"A"
"2021-T3";"7.7";"A"
"2021-T4";"7.2";"A"
"2022-T1";"7.1";"A"
"2022-T2";"7.2";"A"
"2022-T3";"7.0";"A"
"2022-T4";"6.9";"A"
"2023-T1";"6.9";"A"
"2023-T2";"7.0";"A"
"2023-T3";"7.2";"A"
"2023-T4";"7.3";"A"
